drink_id,ingredient_name,quantity,is_allergen
195,Jack Daniels,1 oz,f
195,Amaretto,1 oz,f
196,Blackberry brandy,1 oz,f
196,Anis,1 oz,f
197,Vodka,2 cups,f
197,Jello,3 packages,f
197,Water,3 cups,f
198,Coffee liqueur,1 shot,f
198,Light rum,1 shot Jamaican,f
198,Ice,cubes,f
198,Milk,,f
199,Bourbon,2 oz,f
199,Lemon juice,1 oz,f
199,Sugar,1 tsp superfine,f
199,Club soda,3 oz,f
199,Maraschino cherry,1,f
199,Orange,1,f
200,Blended whiskey,1 1/2 oz,f
200,Lemon,Juice of 1/2,f
200,Powdered sugar,1 tsp,f
200,Port,1 tblsp,f
200,Egg white,1,f
200,Carbonated water,,f
201,Rum,1/6 glass,f
201,Coffee,1/6 glass strong black,f
201,Water,1/2 glass cold,f
201,Whipped cream,,f
202,Milk,2 cups,f
202,Chocolate syrup,,f
202,Mint syrup,,f
203,Gin,1 1/2 oz,f
203,Green Chartreuse,1/2 oz,f
203,Yellow Chartreuse,1/2 oz,f
204,Apple brandy,1 1/2 oz,f
204,Grenadine,1 tsp,f
204,Lime,Juice of 1/2,f
205,Ice,4-5,f
205,Tennessee whiskey,2 oz,f
205,Vanilla extract,1 tsp,f
205,Coca-Cola,10-12 oz,f
206,Creme de Cassis,1 part,f
206,Champagne,5 parts,f
207,Coffee,1 part,f
207,Grain alcohol,2 parts,f
208,Vodka,1 oz,f
208,Triple sec,1 oz,f
208,Lime juice,1 oz,f
209,Creme de Cassis,1 part,f
209,Champagne,5 parts,f
210,Kiwi liqueur,1 part,f
210,Bitter lemon,2 parts,f
210,Ice,cubes,f
211,Absolut Kurant,4 cl,f
211,Tea,Turkish apple,f
211,Sugar,(if needed),f
212,Kahlua,1 oz,f
212,Brandy,1/2 oz,f
212,Coffee,,f
213,Kiwi,1/2,f
213,Sugar Syrup,1 tsp,f
213,Vodka,1 1/2 oz,f
214,Cranberry vodka,4 cl,f
214,Apfelkorn,2 cl,f
214,Schweppes Russchian,7 cl,f
214,Apple juice,8 cl,f
214,Ice,cubes,f
215,Vodka,1 shot,f
215,Amaretto,1 shot,f
215,Sloe gin,1 shot,f
215,Triple sec,1 shot,f
215,Cranberry juice,,f
216,151 proof rum,2 oz light,f
216,Kool-Aid,1/2 tsp Tropical,f
217,Bourbon,2 oz,f
217,Benedictine,1/2 oz,f
218,Bourbon,3 oz,f
218,Benedictine,1/2 oz,f
218,Lemon peel,1 twist of,f
219,Kool-Aid,1/2 oz Grape,f
219,Vodka,1/2 oz,f
220,Kiwi,3,f
220,Papaya,1/2,f
221,Ginger,1 inch,f
221,Lemon,1/4,f
221,Water,1 cup hot,f
222,Lime,Juice of 1,f
222,Sugar,1 tblsp,f
222,Soda water,(seltzer water),f
222,Lime peel,,f
223,Beer,3/4 bottle,f
223,Amaretto,1 shot,f
223,Orange juice,1 oz,f
224,Vodka,1 1/2 shot,f
224,Cointreau,1 1/2 shot,f
224,Lemon,Juice of 1 wedge,f
225,Galliano,1/2 oz,f
225,Absolut Citron,1/2 oz,f
225,Lemon,wedge,f
225,Sugar,Bacardi,f
225,151 proof rum,,f
226,Vodka,5 cl,f
226,Lime,1/2,f
226,Angostura bitters,4 dashes,f
226,Tonic water,1 dl Schweppes,f
226,Ice,4,f
227,Yoghurt,1 cup,f
227,Water,2 cups cold,f
227,Salt,1 tsp,f
227,Asafoetida,1 pinch,f
